0,320.0
1,314.75
2,309.51
3,304.26
4,299.02
5,293.77
6,288.52
7,283.28
8,278.03
9,272.79
10,267.54
11,262.3
12,257.05
13,251.8
14,246.56
15,241.31
16,236.07
17,230.82
18,225.57
19,220.33
20,215.08
21,209.84
22,204.59
23,199.34
24,194.1
25,188.85
26,183.61
27,178.36
28,173.11
29,167.87
30,162.62
31,157.38
32,152.13
33,146.89
34,141.64
35,136.39
36,131.15
37,125.9
38,120.66
39,115.41
40,110.16
41,104.92
42,99.67
43,94.43
44,89.18
45,83.93
46,78.69
47,73.44
48,68.2
49,62.95
50,57.7
51,52.46
52,47.21
53,41.97
54,36.72
55,31.48
56,26.23
57,20.98
58,15.74
59,10.49
60,5.25
61,0.0
